,ID,Name,RGB,Num Parts,Num Sets,First Year,Last Year,Link
157,1049,Modulex Foil Orange,F7AD63,0,0,,,https://rebrickable.com/colors/1049/modulex-foil-orange/
158,178,Flat Dark Gold,B48455,122,106,2002,2007,https://rebrickable.com/colors/178/flat-dark-gold/
159,1085,Two-tone Silver,737271,12,12,2002,2002,https://rebrickable.com/colors/1085/two-tone-silver/
160,57,Trans-Neon Orange,FF800D,5490,1921,1993,2022,https://rebrickable.com/colors/57/trans-neon-orange/
161,1064,Fabuland Red,FF8014,21,14,1979,1994,https://rebrickable.com/colors/1064/fabuland-red/
162,84,Medium Nougat,AA7D55,16549,4667,2000,2022,https://rebrickable.com/colors/84/medium-nougat/
163,450,Fabuland Brown,B67B50,60,46,1979,1997,https://rebrickable.com/colors/450/fabuland-brown/
164,1088,Medium Brown,755945,7,7,2022,2022,https://rebrickable.com/colors/1088/medium-brown/
165,1084,Two-tone Gold,AB673A,12,12,2002,2002,https://rebrickable.com/colors/1084/two-tone-gold/
166,92,Nougat,D09168,1546,610,1979,2022,https://rebrickable.com/colors/92/nougat/
167,1025,Modulex Orange,F47B30,25,24,1963,1963,https://rebrickable.com/colors/1025/modulex-orange/
168,6,Brown,583927,9375,3754,1974,2006,https://rebrickable.com/colors/6/brown/
169,1056,Trans-Brown Opal,583927,120,13,2020,2021,https://rebrickable.com/colors/1056/trans-brown-opal/
170,134,Copper,AE7A59,233,80,2003,2012,https://rebrickable.com/colors/134/copper/
171,70,Reddish Brown,582A12,99097,28757,2000,2022,https://rebrickable.com/colors/70/reddish-brown/
172,86,Light Brown,7C503A,149,84,2002,2006,https://rebrickable.com/colors/86/light-brown/
173,1067,Dark Nougat,AD6140,10,10,2001,2004,https://rebrickable.com/colors/1067/dark-nougat/
174,1072,Pearl Brown,57392C,34,16,2003,2006,https://rebrickable.com/colors/1072/pearl-brown/
175,1081,Rust Orange,872B17,1,1,2004,2004,https://rebrickable.com/colors/1081/rust-orange/
176,1068,Reddish Orange,EE5434,16,13,2003,2004,https://rebrickable.com/colors/1068/reddish-orange/
